corridor,name,subtitle,dest_lat,dest_lon,n_source_isos,n_source_countries,min_total_cost,median_total_cost,p25_total_cost,p75_total_cost,min_gen_cost,median_gen_cost,min_transport_cost,median_transport_cost,best_source_country,dominant_mode,within_cap_points,colour,scenario,year
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,101,3.6821915597883494,5.794217614294817,5.284089687855575,6.784443901129952,1.7447712418307333,3.6276544386773306,1.572397422261285,2.167563074408369,JPN,NH3,3871,#2196F3,Intermediate,2027
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,3.1960515977744652,5.238257831476397,4.619024663932619,5.647129987661238,1.9883847204018101,3.3940798652314976,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Intermediate,2027
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,14,2.9646585894708224,6.292616068248815,4.911206472151527,7.126450716769373,1.7788298021021656,4.029351330522865,0.6493595721292902,2.2644897104968837,TUR,NH3,431,#9C27B0,Intermediate,2027
EU,EU Domestic,EU Domestic Production,,,27,23,2.0930266453471753,3.8073099449495937,3.519384247133165,4.309369087715448,2.0930266453471753,3.8073099449495937,0.0,0.0,IRL,Domestic,271,#009688,Intermediate,2027
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,17,2.9241884608742326,3.955919255228719,3.6107533798960176,4.320112541682462,1.855021069456701,2.6181748343530282,0.5999694628032692,1.3458038102977357,MAR,H2 Gas,273,#E63946,Intermediate,2030
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,26,2.8776013757317234,4.920027558667831,4.4481295870003414,5.177602695353566,1.862639420625605,3.0917659617185214,0.21629999999999996,1.7721798717040678,MAR,NH3,938,#F4A261,Intermediate,2030
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,91,3.4409925612543626,5.1490543140732825,4.759696362063146,5.852844297009666,1.5197103818044122,2.997104689962601,1.572397422261285,2.137660452071824,JPN,NH3,3435,#2196F3,Intermediate,2030
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.9106000174868107,4.834278161907447,4.2487560344222075,5.041498236783773,1.7351724894134464,2.9429916084245953,0.8174036413688548,1.834914541563418,GBR,NH3,211,#4CAF50,Intermediate,2030
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,13,2.682644711428048,5.810504569339887,4.407252949626866,6.445573767665818,1.5512771763620057,3.553387928505968,0.6746669057117312,2.2264984075159777,TUR,NH3,347,#9C27B0,Intermediate,2030
EU,EU Domestic,EU Domestic Production,,,27,19,1.8405851874575858,3.282016439651671,3.0829603230487526,3.722142718761022,1.8405851874575858,3.282016439651671,0.0,0.0,IRL,Domestic,255,#009688,Intermediate,2030
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.775739069161162,4.0307136146735685,3.6605583057945132,5.068332966827083,1.7201078042622995,2.384885369046806,0.5999694628032692,1.569074985112832,MAR,H2 Gas,525,#E63946,Intermediate,2035
