ISO_A3,Year,Capacity_kt,Source
ESH,2022,0.2,Theoretical growth
BGD,2022,0.2,Theoretical growth
LTU,2022,0.2,Theoretical growth
SRB,2022,3.6,IEA-anchored growth
NIC,2022,0.2,Theoretical growth
AZE,2022,0.2,Theoretical growth
CHE,2022,0.4,IEA-anchored growth
BEN,2022,0.1,Theoretical growth
HND,2022,0.1,Theoretical growth
MWI,2022,0.1,Theoretical growth
GTM,2022,0.1,Theoretical growth
HRV,2022,0.1,Theoretical growth
EST,2022,10.4,IEA-anchored growth
LBR,2022,0.1,Theoretical growth
GEO,2022,0.1,Theoretical growth
DJI,2022,0.1,Theoretical growth
LKA,2022,0.1,Theoretical growth
BEL,2022,2.3,IEA-anchored growth
LSO,2022,0.1,Theoretical growth
QAT,2022,0.1,Theoretical growth
BIH,2022,0.1,Theoretical growth
SLE,2022,0.1,Theoretical growth
PAN,2022,9.5,IEA-anchored growth
MDA,2022,0.1,Theoretical growth
CRI,2022,0.1,IEA-anchored growth
TGO,2022,0.1,Theoretical growth
SVK,2022,0.6,IEA-anchored growth
BTN,2022,0.1,Theoretical growth
TWN,2022,0.1,Theoretical growth
DOM,2022,0.1,Theoretical growth
ISR,2022,0.1,Theoretical growth
ARM,2022,0.1,Theoretical growth
GNB,2022,0.0,Theoretical growth
SLB,2022,0.0,Theoretical growth
SWZ,2022,0.0,Theoretical growth
MKD,2022,0.0,Theoretical growth
ALB,2022,0.0,Theoretical growth
HTI,2022,0.0,Theoretical growth
FJI,2022,0.0,Theoretical growth
GNQ,2022,0.0,Theoretical growth
SVN,2022,1.2,IEA-anchored growth
BDI,2022,0.0,Theoretical growth
RWA,2022,0.0,Theoretical growth
BHS,2022,0.0,Theoretical growth
NCL,2022,0.0,Theoretical growth
FLK,2022,0.0,Theoretical growth
BLZ,2022,0.0,Theoretical growth
SLV,2022,0.0,Theoretical growth
GMB,2022,0.0,Theoretical growth
JAM,2022,0.0,Theoretical growth
ATF,2022,0.0,Theoretical growth
MNE,2022,0.0,Theoretical growth
TLS,2022,0.0,Theoretical growth
TTO,2022,0.0,Theoretical growth
BRN,2022,0.0,Theoretical growth
VUT,2022,0.0,Theoretical growth
LBN,2022,0.0,Theoretical growth
PRI,2022,0.0,Theoretical growth
PSE,2022,0.0,Theoretical growth
CYP,2022,0.0,Theoretical growth
LUX,2022,0.0,Theoretical growth
CHN,2023,382.7,IEA-anchored growth
AUS,2023,650.1,IEA-anchored growth
RUS,2023,67.4,Theoretical growth
CAN,2023,50.6,IEA-anchored growth
KAZ,2023,48.7,Theoretical growth
USA,2023,158.8,IEA-anchored growth
DZA,2023,41.4,Theoretical growth
ATA,2023,33.0,Theoretical growth
LBY,2023,28.6,Theoretical growth
SAU,2023,175.3,IEA-anchored growth
IND,2023,82.2,IEA-anchored growth
MRT,2023,18.9,IEA-anchored growth
BRA,2023,129.5,IEA-anchored growth
ZAF,2023,26.2,IEA-anchored growth
MEX,2023,13.4,IEA-anchored growth
ARG,2023,12.8,IEA-anchored growth
EGY,2023,43.3,IEA-anchored growth
MAR,2023,157.7,IEA-anchored growth
PER,2023,8.3,IEA-anchored growth
GBR,2023,21.5,IEA-anchored growth
MNG,2023,7.4,Theoretical growth
PAK,2023,7.4,Theoretical growth
TKM,2023,7.3,Theoretical growth
NAM,2023,64.1,IEA-anchored growth
CHL,2023,118.9,IEA-anchored growth
IRN,2023,6.3,Theoretical growth
SDN,2023,6.0,Theoretical growth
GRL,2023,5.9,Theoretical growth
UZB,2023,5.8,IEA-anchored growth
TCD,2023,5.5,Theoretical growth
BWA,2023,4.8,Theoretical growth
NER,2023,4.4,Theoretical growth
COD,2023,4.4,Theoretical growth
NOR,2023,46.7,IEA-anchored growth
MLI,2023,3.8,Theoretical growth
OMN,2023,192.1,IEA-anchored growth
IDN,2023,16.7,IEA-anchored growth
DEU,2023,61.3,IEA-anchored growth
FRA,2023,13.2,IEA-anchored growth
DNK,2023,43.7,IEA-anchored growth
SWE,2023,55.7,IEA-anchored growth
IRL,2023,3.0,IEA-anchored growth
BOL,2023,2.9,Theoretical growth
TUR,2023,2.7,Theoretical growth
AFG,2023,2.4,Theoretical growth
TUN,2023,31.2,IEA-anchored growth
AGO,2023,2.4,Theoretical growth
UKR,2023,2.3,Theoretical growth
ETH,2023,2.2,Theoretical growth
COL,2023,15.2,IEA-anchored growth
NZL,2023,5.0,IEA-anchored growth
ESP,2023,161.7,IEA-anchored growth
NLD,2023,72.7,IEA-anchored growth
SOM,2023,1.9,Theoretical growth
PRT,2023,32.7,IEA-anchored growth
FIN,2023,30.5,IEA-anchored growth
TZA,2023,1.8,Theoretical growth
VEN,2023,1.7,Theoretical growth
NGA,2023,1.7,Theoretical growth
IRQ,2023,1.7,Theoretical growth
JPN,2023,1.6,IEA-anchored growth
MOZ,2023,1.5,Theoretical growth
ZMB,2023,1.4,Theoretical growth
POL,2023,2.4,IEA-anchored growth
YEM,2023,1.3,Theoretical growth
MDG,2023,1.3,Theoretical growth
MMR,2023,1.3,Theoretical growth
SSD,2023,1.2,Theoretical growth
CAF,2023,1.2,Theoretical growth
KEN,2023,1.1,Theoretical growth
PRY,2023,5.9,IEA-anchored growth
ITA,2023,19.8,IEA-anchored growth
THA,2023,1.0,Theoretical growth
PNG,2023,0.9,Theoretical growth
CMR,2023,0.9,Theoretical growth
URY,2023,18.4,IEA-anchored growth
BLR,2023,0.8,Theoretical growth
SYR,2023,0.8,Theoretical growth
ARE,2023,0.8,IEA-anchored growth
PHL,2023,0.7,Theoretical growth
ZWE,2023,0.7,Theoretical growth
COG,2023,0.6,Theoretical growth
MYS,2023,16.3,IEA-anchored growth
ROU,2023,3.6,IEA-anchored growth
VNM,2023,0.6,Theoretical growth
CIV,2023,0.6,Theoretical growth
BFA,2023,0.6,Theoretical growth
GRC,2023,3.1,IEA-anchored growth
GUY,2023,0.6,Theoretical growth
GAB,2023,0.5,Theoretical growth
ECU,2023,0.5,Theoretical growth
UGA,2023,0.5,Theoretical growth
GHA,2023,0.5,Theoretical growth
GIN,2023,0.5,Theoretical growth
SEN,2023,0.5,Theoretical growth
KGZ,2023,0.4,Theoretical growth
TJK,2023,0.4,Theoretical growth
LAO,2023,0.4,Theoretical growth
PRK,2023,0.4,Theoretical growth
ERI,2023,0.4,Theoretical growth
AUT,2023,10.0,IEA-anchored growth
KHM,2023,0.3,Theoretical growth
JOR,2023,10.8,IEA-anchored growth
CZE,2023,0.5,IEA-anchored growth
HUN,2023,0.3,IEA-anchored growth
ISL,2023,1.7,IEA-anchored growth
NPL,2023,0.3,Theoretical growth
LVA,2023,0.3,Theoretical growth
KWT,2023,0.3,Theoretical growth
SUR,2023,0.3,Theoretical growth
BGR,2023,0.3,Theoretical growth
KOR,2023,2.0,IEA-anchored growth
CUB,2023,0.3,Theoretical growth
ESH,2023,0.3,Theoretical growth
