,Country code,Risk Free,Country Risk,Equity Risk,Lenders Margin,Technology Risk,Equity Cost,Debt Cost,WACC,Debt Share,Tax Rate,Year
101,NAM,3.4947411908894477,3.9300654149860526,1.3072426087161868,0.9494110974932992,3.205447873897488,20.18752639667437,14.308282709314819,12.886908185982476,69.80963952156613,32.0,2024
102,NLD,3.5711999999999997,0.0,0.8659999999999998,1.1872,1.66976,12.43,8.1,7.29416,80.0,25.8,2024
103,NZL,3.4919999999999995,0.0,0.8659999999999998,1.152,2.999599999999999,14.18,9.85,8.509599999999999,80.0,28.0,2024
104,NIC,3.588101037866175,4.958108049389168,1.4051685140448444,0.9456729977684105,3.320180458361375,21.520789435100802,15.297718819737169,14.217231057429974,67.54807126917218,30.0,2024
105,NER,3.725670904325033,9.669326437123063,1.846411122761031,0.8030079510703364,3.6264007907383133,27.528315831775174,19.756001529051986,19.670817206017773,57.35771079073831,30.0,2024
106,NGA,3.649163380680812,6.976634349859784,1.6010203247021593,0.8823490867013802,3.456100710330251,24.187315511953656,17.276591040581863,16.565267852274385,63.024934764384305,30.0,2024
107,NOR,3.708,0.0,0.8659999999999998,1.2480000000000002,3.1604,14.18,9.85,8.982399999999998,80.0,22.0,2024
108,OMN,3.998253761822111,2.42410448344198,1.1113907980588715,1.2636571924480182,3.4898222799404905,17.521000319821518,12.329410488470122,12.287228515711472,74.33277602635401,15.0,2024
109,PAK,3.721968408487124,8.626119274079828,1.7484852174323733,0.846593762412478,3.5784131232333243,26.195052793348744,18.766565418629636,18.521579785645127,59.61927904313226,29.0,2024
110,PAN,3.65597381424675,1.95740256026698,1.081436991723047,1.1253682476709999,3.2211783981556916,17.11317868453814,12.026759442929167,11.041360012063468,75.02454984473333,25.0,2024
111,PNG,3.588101037866175,4.958108049389168,1.4051685140448444,0.9456729977684105,3.320180458361375,21.520789435100802,15.297718819737169,14.217231057429974,67.54807126917218,30.0,2024
112,PRY,4.1623895256987,2.2023681562560298,1.081436991723047,1.3504418972052,3.598176761125477,17.11317868453814,12.026759442929167,12.394813332008454,75.02454984473333,10.0,2024
113,PER,3.4860357096808476,1.356316511730324,1.0226814485258517,1.076979020225993,3.0675301012834586,16.313220861482286,11.433097776675757,10.009542791446476,76.3814907961697,29.5,2024
114,PHL,3.6484906839998583,1.688223082514238,1.052635254861677,1.1353457546668555,3.202304280755198,16.721042496765662,11.735748822216712,10.726999056797826,75.68971697779037,25.0,2024
115,POL,3.832379075484397,0.7775959169359135,0.9489490021607455,1.2649659622400906,2.6206406004038114,14.521852220784739,9.900610587651872,9.444530557224958,78.08431865679572,19.0,2024
116,PRT,3.4044692759732214,0.9919836877782352,0.9835110863943889,1.0588198179306438,1.6647556028479333,14.029915646111712,9.28732333250682,8.10353947092442,77.28611809712727,31.5,2024
117,QAT,4.1450286635259115,0.48620903859872755,0.9143869179271013,1.4198853458963552,3.5080931762955614,14.838788795457765,10.338897842796925,10.473603142243658,78.88251921646417,10.0,2024
118,RAK,4.5,1.2810390633593647,0.9835110863943889,1.5457223619425455,3.804277638057454,15.779915646111712,11.03732333250682,12.114550149753754,77.28611809712727,0.0,2024
119,ROU,3.95982324111792,2.1043819178604095,1.081436991723047,1.2604124373915198,3.447377415937563,17.11317868453814,12.026759442929167,11.85343200403046,75.02454984473333,16.0,2024
120,RUS,3.841301802982537,2.821389722341598,1.1609297854604277,1.1710190169199344,3.3958620155148593,18.19547456279018,12.829948756095543,12.390502343219357,73.1886885574959,20.0,2024
121,RWA,3.64889430200843,5.031704629207171,1.4051685140448444,0.9726922262760794,3.365437666111721,21.520789435100802,15.297718819737169,14.423897337648247,67.54807126917218,28.0,2024
